1,1,42,562.15,unsure
1,2,640,974.09,reliable
1,3,720,550.17,dishonest
1,4,644,461.39,weak
1,5,436,300.73,weak
2,1,157,414.86,reliable
2,2,803,418.59,inadequate
2,3,303,807.99,honest
2,4,243,947.51,dependable
2,5,288,143.99,dependable
3,1,362,470.63,unsure
3,2,788,627.26,honest
3,3,346,178.99,unsure
3,4,617,896.13,reliable
3,5,478,684.33,unreliable
4,1,255,528.40,weak
4,2,369,73.01,unsure
4,3,407,230.01,honest
4,4,64,414.40,inadequate
4,5,967,159.79,inadequate
5,1,405,699.18,unsure
5,2,4,957.93,unsure
5,3,833,362.97,unreliable
5,4,154,671.27,unreliable
5,5,182,13.88,unsure
6,1,562,273.02,honest
6,2,764,176.12,predictable
6,3,742,121.94,good
6,4,100,172.12,unsure
6,5,478,522.05,unsure
7,1,543,283.76,honest
7,2,406,82.35,vulnerable
7,3,70,848.60,predictable
7,4,291,913.86,weak
7,5,801,602.99,dependable
8,1,343,849.97,honest
8,2,467,976.76,unreliable
8,3,311,764.30,honest
9,1,278,248.46,predictable
9,2,216,506.23,good
9,3,150,316.70,reliable
9,4,281,40.03,dishonest
9,5,190,681.93,unsure
10,2,912,183.14,honest
10,3,988,858.50,unreliable
10,5,749,917.80,honest
11,1,542,445.03,honest
11,2,184,239.94,weak
11,3,97,868.02,honest
11,4,935,669.48,good
11,5,818,362.31,unsteady
12,1,516,667.12,dishonest
12,2,836,631.01,dishonest
12,3,356,705.08,dishonest
12,4,342,600.19,vulnerable
13,1,688,328.56,weak
13,2,5,593.84,dishonest
13,3,225,170.93,vulnerable
14,1,691,404.47,unreliable
14,2,405,844.20,predictable
14,3,867,812.56,dependable
14,4,161,999.91,predictable
15,1,288,291.30,honest
15,2,622,821.72,dependable
15,4,388,509.81,unsteady
16,2,117,160.42,reliable
16,5,779,943.33,unsure
17,4,181,230.68,honest
18,1,1,940.96,weak
18,2,244,303.93,reliable
18,3,603,699.65,reliable
19,1,999,68.51,unsteady
19,2,338,655.31,vulnerable
19,3,192,528.75,weak
19,4,71,48.76,weak
19,5,198,800.77,weak
20,1,555,949.11,dependable
20,2,934,666.69,weak
20,3,290,93.76,weak
20,4,789,731.47,solid
20,5,378,412.61,predictable
21,1,581,6.02,unreliable
21,2,857,307.48,unsteady
21,3,894,497.82,inadequate
21,4,242,504.36,inadequate
21,5,452,835.70,vulnerable
22,1,175,901.13,inadequate
22,2,952,8.54,vulnerable
22,3,150,436.31,unreliable
22,4,57,403.83,solid
22,5,766,345.98,weak
23,3,701,870.66,honest
23,4,871,183.01,unsure
23,5,179,977.87,weak
24,1,72,327.08,weak
24,2,176,62.49,honest
